student_id,cgpa,tenth_percentage,twelfth_percentage,backlogs,internships,certifications,python_skill,java_skill,cpp_skill,javascript_skill,react_skill,sql_skill,machine_learning_skill,data_science_skill,django_skill,fastapi_skill,nodejs_skill,git_skill,aws_skill,docker_skill,communication_score,aptitude_score,projects,coding_score,attendance,extracurricular,placed
1061,8.84,79.49,76.3,0,2,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,82.3,79.4,3,59.6,79.5,0,1
1062,6.98,63.27,75.08,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,78.1,58,2,64.7,88.5,2,1
1063,8.44,71.21,76.34,2,2,6,0,1,0,1,0,1,0,1,1,0,1,1,1,0,58.8,87.5,4,54.1,100,1,1
1064,8.58,78.74,70.58,0,0,4,1,1,1,1,0,0,0,0,1,0,0,1,0,0,59.4,90.9,4,82.9,89.8,2,0
1065,7.96,77.17,83.23,0,1,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,82.4,79,6,29.6,75.6,2,1
1066,7.66,73.63,83.6,2,0,2,1,0,1,0,0,0,0,0,1,0,1,1,0,0,93.8,64.9,5,70.6,79.1,2,1
1067,6.73,86.09,67.4,1,1,5,1,0,1,0,1,0,1,1,1,0,0,0,0,0,78.2,73.1,3,73,74.2,1,0
1068,6.22,69.91,66.27,2,0,3,0,0,0,0,0,0,1,0,0,1,1,1,0,0,72.6,69.3,3,54.8,96.4,1,1
1069,8.83,80.55,72.03,0,1,4,0,0,1,0,0,1,0,0,0,0,0,1,0,0,62.6,79.6,7,62.8,84.3,1,1
1070,7.79,82.82,75.81,3,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,29.8,66.5,5,43.9,70.6,1,0
1071,7.32,86.84,78.01,0,1,4,1,1,1,0,1,0,0,0,0,1,0,0,0,0,68.5,58.9,0,50.5,93.2,1,1
1072,8.21,73.97,82.64,0,4,3,0,0,0,1,0,0,1,0,0,1,0,1,1,0,58.7,74.5,2,51.8,72.8,1,1
1073,8.31,98.16,70.69,0,2,2,0,1,1,1,0,0,0,1,0,0,0,1,0,0,69.1,57,0,51.9,85.2,3,1
1074,7.34,100,82.69,2,1,4,1,0,0,0,0,1,0,0,1,0,0,1,0,0,49.9,63,7,67,78.2,0,0
1075,7.14,86.38,86.85,0,0,6,1,0,0,0,0,0,1,0,0,0,1,1,0,0,58.7,76.9,5,45.8,100,2,1
1076,7.65,94.54,70.94,0,2,2,1,1,0,0,1,1,1,1,0,0,0,1,1,0,69.7,74.1,2,88.3,95.3,2,1
1077,7.48,86.98,72.89,0,0,5,0,1,0,0,0,1,1,1,0,0,0,0,0,0,53,80.5,2,68.6,80.8,3,0
1078,8.11,99.2,78.81,0,3,3,0,0,1,0,1,0,0,0,1,0,0,1,0,0,68.7,73.5,2,55.4,76.2,0,1
1079,9.15,68.92,77.33,1,2,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,74.9,85.5,6,45.8,75.5,0,0
1080,8.38,88.01,81.71,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,89.2,68.7,3,74.2,94,2,0
1081,9.03,83.16,78.34,0,0,1,1,0,1,0,1,1,0,1,1,0,1,1,0,0,76.7,100,7,64.3,79.5,1,1
1082,7.36,89.37,81.92,0,1,2,0,1,1,1,1,1,0,0,0,1,0,0,0,1,69.2,60.8,5,99.2,78.2,1,1
1083,7.63,85.16,74.47,1,1,2,1,0,1,1,0,0,0,0,0,0,1,0,0,0,75.3,77.5,1,49,82.6,0,0
1084,6.47,84.87,79.7,0,1,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,55.6,66,0,67.9,83.1,1,0
1085,8.23,69.31,90.54,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,96.5,61.1,3,85.3,94.3,0,0
1086,7.07,83.88,84.92,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,92.4,50.1,2,60.3,85.1,1,0
1087,7.63,96.58,82.25,2,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,97.4,84.9,0,55.2,68.8,0,0
1088,7.08,83.15,100,0,4,6,1,0,1,0,1,0,0,1,0,0,0,0,0,0,71.4,54.4,4,84.5,71.5,2,1
1089,6.91,85.92,58.22,0,4,2,0,0,0,1,1,0,0,0,0,1,0,1,0,0,97.4,64.4,5,69,94.5,2,0
1090,6.8,87.26,71.26,2,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,77.2,65.6,6,82.2,72.6,1,0
1091,6.83,82.47,75.06,0,0,2,0,1,1,1,1,1,1,0,0,0,0,1,0,1,71.1,68.3,5,68.8,68,2,1
1092,8.72,73.53,52.82,1,2,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,56.4,68,4,79.5,86.7,0,0
1093,7.49,91.64,70.7,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,77.3,55.8,2,49.4,92.4,2,1
1094,7.58,85.58,74.44,2,2,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,78.4,78.1,2,65,82.2,2,0
1095,6.54,78.06,76.24,1,2,2,1,0,1,1,1,1,0,1,0,1,1,1,1,1,66.9,28.4,4,85.3,77.2,1,0
1096,9.67,90.28,79.83,4,1,4,1,0,1,1,0,0,1,1,1,0,0,1,0,0,80.1,70.5,2,77.9,82.6,2,1
1097,7.55,89.36,86.09,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,74.7,53.1,2,50.1,70.6,2,0
1098,6.5,85.97,84.48,0,2,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,76.5,65.1,2,60.8,95.3,2,1
1099,7.18,100,62.95,0,0,5,0,0,1,0,1,0,0,0,0,0,1,1,0,1,72.3,68.6,7,60.2,72.2,0,1
1100,7.88,84.15,74.23,0,2,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,76.6,61.4,4,47.8,89.4,1,1
1101,7.44,77.63,83.05,0,4,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,48.6,68.5,4,61.7,91.7,0,1
1102,7.13,89.49,80.95,0,1,3,0,0,0,1,0,1,0,1,0,0,0,0,0,1,51.4,28.9,4,48.8,90.3,2,0
1103,7.68,80.17,88.62,1,0,6,1,1,1,1,0,1,1,0,1,0,1,1,1,1,87,80.3,3,86.5,91.1,2,1
1104,5.95,78.58,90.75,2,0,2,0,0,1,0,0,1,0,0,0,1,1,1,0,0,89.9,62.2,6,54.2,76.2,1,0
1105,7.73,65.53,81.41,3,2,2,1,0,0,1,0,1,1,1,0,0,0,1,0,0,36.5,66.9,6,81,89.8,0,1
1106,8.13,90.79,77.35,2,0,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,65,60.8,7,37.7,84.4,1,1
1107,6.72,87.01,87.29,2,1,5,1,0,1,0,0,1,0,0,0,0,0,1,0,0,95.4,58.1,6,40.4,91.2,1,0
1108,7.36,79.61,81.44,1,2,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,73.6,45.6,2,57.6,89.5,0,1
1109,6.91,70.02,78.85,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,79.2,45,0,66.2,86.9,2,0
1110,8,86.72,83.52,1,2,2,1,0,0,0,1,0,0,1,1,0,1,0,0,0,77.2,61.4,0,37.4,73.1,2,0
1111,6.05,84.13,79.22,1,2,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,75.7,74.8,1,77.4,73.4,2,0
1112,7.57,89.94,84.34,1,2,3,1,0,1,1,0,0,0,0,0,1,0,1,0,0,67.1,59.8,0,77.3,73.9,1,1
1113,8.27,78.48,80.04,0,2,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,84.7,61,1,91,80.6,2,0
1114,7.99,81.96,78.87,0,1,7,1,0,1,0,0,0,0,0,0,0,1,0,1,0,58.1,61.7,5,60.9,88,0,1
1115,7.23,84.9,95.7,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,70,48.5,3,42.3,78.6,1,1
1116,7.8,91.39,70.87,1,0,2,1,0,1,0,0,1,0,1,0,0,0,0,0,1,79.1,72.2,1,47.1,85.8,2,0
1117,9.08,86.89,83.05,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,67.3,58.1,5,53.7,94.9,2,0
1118,5.81,88.96,74.28,0,0,2,0,1,1,0,0,1,0,0,0,1,0,1,0,0,87.8,69.3,3,81.1,74.3,0,0
1119,8.77,92.59,93.74,1,3,4,0,0,0,0,0,0,1,0,0,0,1,1,0,0,81.9,65.6,6,56.4,81,1,1
1120,6.68,96.15,84.6,2,0,4,1,1,1,0,1,0,1,0,0,0,0,1,1,0,77.7,52.9,2,68.1,94.3,0,0
1121,5.73,81.34,84.42,1,1,6,1,0,0,0,0,1,0,1,1,0,1,0,0,0,68.6,60.4,5,60.3,85.9,0,0
1122,7.46,82.92,83,0,2,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,88.6,75.5,0,76.2,97.9,3,1
1123,6.24,82.35,85.04,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0,1,64.4,95.3,3,80.9,90.6,2,1
1124,7.2,86.74,93.99,2,2,7,1,0,0,0,0,0,0,1,0,0,1,0,0,0,65.8,51,3,19.5,92.7,2,0
1125,8.06,82.67,81.91,1,4,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,60.8,57.4,5,53.6,93.1,1,1
1126,7.06,81.72,77.69,4,2,7,1,1,1,1,1,1,0,1,1,0,1,1,0,1,60.9,67.5,3,80.7,82.8,1,0
1127,6.74,94.82,82.54,0,0,3,1,1,1,1,0,1,1,1,0,0,0,1,0,1,87.1,70.1,2,100,86.7,3,1
1128,7.25,90.76,79.56,1,1,2,1,1,1,0,1,1,0,1,0,0,0,1,1,0,64.9,90.2,5,82.1,72.4,0,1
1129,6.45,73.67,82.62,0,2,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,65,76.1,6,55.3,79.5,1,0
1130,7.98,93.83,74.26,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,60.7,70.1,3,48.1,89.1,2,0
1131,5.58,84.17,87.98,0,2,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,80.6,51.2,0,96,66.2,1,1
1132,7.34,89.35,80.88,2,0,2,0,1,0,0,1,0,0,0,0,0,1,0,1,0,73.5,81.1,0,66.7,96.7,3,1
1133,8.83,75.29,68.49,0,1,5,1,1,0,1,1,1,0,1,0,0,0,1,0,0,81.5,80.2,6,57.9,70.2,1,1
1134,6.65,97.98,88.39,3,3,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,61.5,81.7,4,50.2,82.9,1,0
1135,7.6,90.82,91.26,3,2,6,1,1,0,0,1,1,1,1,0,1,1,1,0,1,75.9,99.2,2,87.9,87.4,0,1
1136,7.73,74.07,83.01,2,4,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,58,59.2,7,30.7,83.6,0,1
1137,8.43,83.45,72.34,0,1,5,1,1,1,0,1,0,0,0,1,0,0,1,0,0,94.1,75.5,5,74.9,80.9,0,1
1138,6.63,82.35,85.49,1,0,2,0,0,1,1,1,1,1,0,0,1,1,1,1,0,65.3,66.6,3,85.9,86.4,0,0
1139,7.02,85.22,89.16,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,66.8,85.5,5,65.3,100,1,0
1140,7.33,86.48,79.49,0,1,3,0,1,0,0,0,1,0,1,0,1,0,1,0,1,75.9,48.6,2,63.3,96,1,1
1141,8.02,66.01,91.35,0,2,6,1,1,1,0,0,1,1,1,0,0,1,1,0,0,61.7,66.4,1,43.2,82.3,0,0
1142,5.78,94.55,80.65,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,90.9,66.3,0,33.8,81.3,1,0
1143,6.69,89.42,73.02,0,1,2,1,0,0,0,1,1,1,0,0,0,1,1,0,0,77.4,50.9,3,58.3,58.8,1,0
1144,6.6,77.98,66.8,1,2,4,0,0,0,1,1,0,1,0,0,0,0,0,0,0,65.4,100,5,45.1,80.5,1,0
1145,6.94,69.31,72.94,1,3,4,1,0,1,0,1,0,0,1,1,0,1,0,1,1,63.7,81.4,5,72.9,81.6,2,1
1146,9,96.19,86.62,0,0,4,0,0,1,1,1,0,0,1,0,0,0,0,0,0,80.6,51.9,2,46.1,100,1,1
1147,9.22,79.63,72.17,1,1,2,1,0,1,0,1,1,0,1,0,0,0,0,0,0,68.4,71.8,0,81.9,86.7,0,1
1148,6.71,78.3,90.68,1,0,4,1,1,1,0,0,0,1,0,0,0,1,1,0,0,97.2,85.6,2,77,97.9,3,1
1149,7.62,88.87,100,0,1,2,1,1,1,1,0,1,0,0,0,0,0,1,1,0,86.9,85.1,2,80.8,65.6,1,1
1150,7.8,76.5,81.95,1,2,4,1,1,1,1,1,1,0,1,1,0,1,1,0,0,70,70.9,5,96.7,75.8,1,1
1151,6.69,89.26,68.57,2,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,64.8,65.7,2,54.4,85,2,0
1152,6.58,93.84,71.32,2,1,2,0,0,1,1,0,1,1,0,0,0,0,1,1,0,65.2,41.1,6,55.7,99.7,2,1
1153,6.28,99.94,72.99,0,0,2,1,1,1,1,0,1,0,1,1,0,0,0,0,0,72.6,88.9,3,67.4,88.6,0,0
1154,8.28,85.11,65.81,0,0,2,0,1,1,0,0,0,1,0,1,0,0,1,0,1,90.8,74.5,3,74.1,77.8,1,1
1155,5.22,85.49,84.25,0,1,3,1,0,0,1,1,1,1,0,0,0,0,0,0,0,87.4,76.6,2,57.7,78.9,1,0
1156,7.97,83.22,100,0,2,3,0,0,1,0,1,1,1,1,1,0,1,1,0,0,61.4,84.3,1,67.6,93,0,1
1157,7.16,78.18,80.09,0,3,3,1,1,1,1,1,1,1,0,0,1,1,1,1,1,47.1,69.8,6,99.2,100,1,0
1158,8.38,67.15,90.38,0,1,2,1,0,0,0,0,1,1,1,0,0,0,1,0,0,62.8,65.3,0,46.8,97.5,1,0
1159,7.18,88.02,76.87,2,1,7,0,0,0,0,0,0,0,0,1,0,1,1,0,0,72.2,68.1,1,40.3,80.5,0,0
1160,6.63,97.03,74.76,1,1,2,1,1,1,1,1,0,1,1,0,0,1,1,0,0,96,78.3,2,92,74.4,1,1
1161,8.82,80.81,74.49,0,0,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,83.1,70.8,3,100,88.1,1,1
1162,7.23,94.5,82.89,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,55.1,84,1,50.3,86.7,3,0
1163,8.04,83.14,88.99,1,3,8,1,0,1,1,0,1,1,1,0,0,0,1,0,0,58.7,42.6,4,85.6,96.3,0,1
1164,7.53,84.89,78.39,2,2,4,0,0,0,1,0,1,0,0,0,0,0,1,0,0,66,64.5,7,47.3,88.6,2,1
1165,8.17,71.93,69.59,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,83.9,58.8,5,64.4,76.1,2,0
1166,8.57,73.94,86.58,4,1,5,1,1,0,1,1,0,0,0,0,1,0,1,1,0,82.2,100,1,83.5,90.3,1,0
1167,7.74,87.03,83.4,1,1,6,1,1,0,1,0,0,0,1,1,0,1,0,0,1,70.3,64,4,84,96,3,0
1168,6.21,73.47,82.53,0,3,2,0,0,1,1,0,1,0,0,0,0,1,0,0,0,68.5,79.9,3,61.7,65.8,1,1
1169,7.39,72.73,76.32,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,68.5,61.2,4,74.4,78.6,2,1
1170,6.88,68.25,80.93,2,3,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,69.7,83,4,70,100,0,1
1171,7.05,75.49,72.89,0,1,2,0,0,1,1,0,1,1,1,0,1,0,1,0,1,76.8,61,5,73.5,69.1,1,1
1172,8.03,80.7,82.31,0,1,4,1,1,1,1,0,1,0,1,0,0,0,0,0,1,73,55.2,6,62,82.8,1,1
1173,7.59,79.97,79.15,0,0,2,1,0,1,0,0,0,1,0,1,1,0,0,0,0,52.5,51.4,6,62.8,81.6,2,0
1174,6.63,80.82,91.14,0,0,1,1,0,1,0,1,1,0,1,1,0,1,1,1,0,50.8,62.5,2,82.6,88.4,2,0
1175,7.36,79.17,67.55,0,0,6,1,1,1,0,1,0,1,0,0,0,0,1,0,0,66.6,76.9,0,50.8,80.9,1,1
1176,6.83,93.54,88.55,0,0,2,1,1,0,1,0,1,0,0,0,0,1,1,0,0,72.5,88.9,2,70.4,87.2,2,1
1177,8.14,81.34,89.84,0,1,4,0,1,0,0,1,1,0,0,0,0,0,0,0,0,70.8,82.2,2,48,100,2,0
1178,7.19,71.11,77.64,0,0,7,1,1,0,1,0,0,0,0,0,0,1,0,1,0,76.5,73.7,2,82.3,82,1,1
1179,8.61,93.32,79.21,0,0,2,0,0,0,1,1,1,1,0,0,0,0,0,0,0,46.3,70.9,1,72.7,89.8,0,1
1180,6.95,86.9,82.8,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,71.2,96.9,2,71.3,68,1,0
1181,6.8,87.55,64.68,0,2,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,60,58.9,3,65.5,66.4,1,0
1182,6.61,85.59,79.29,2,0,2,1,1,1,1,1,1,0,0,0,0,0,1,1,0,50.1,50.7,0,100,79.8,2,0
1183,4.94,76.29,69.61,3,3,3,1,1,0,0,0,1,1,0,0,0,1,0,0,0,73.1,52.8,3,52.6,84.8,2,0
1184,8.37,82.1,86.75,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,1,74.2,77.5,1,68.4,87.5,1,1
1185,6.87,81.09,80.45,0,3,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,79.1,80.2,3,61,96.8,0,1
1186,6.15,77.77,92.16,4,1,5,0,1,1,0,0,0,0,0,0,1,1,1,1,0,73.2,58.9,3,61.4,93,1,0
1187,7.38,97.47,89,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,59.3,67.5,4,94.8,78.4,1,0
1188,8.39,82.26,84.74,1,0,7,0,1,1,1,1,0,0,1,1,0,0,1,0,0,44.3,95.2,3,60.2,80.7,3,0
1189,7.19,76.22,88.84,0,1,3,1,0,1,0,0,1,0,0,0,0,0,1,0,0,70.2,76.4,3,71.5,80.7,1,1
1190,7.72,75.28,71.13,0,4,0,1,1,1,1,0,0,1,0,0,1,0,0,1,1,30,68.7,3,73.9,76.3,0,0
1191,8,81.29,65.22,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.1,39.3,1,32.5,87.9,2,0
1192,8.81,83.37,63.42,2,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,100,79.4,3,68,93,3,1
1193,7.24,68.9,74.63,0,2,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,80.6,90.9,0,81.7,74.9,0,1
1194,7.09,85.49,93.58,0,3,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,67.1,48.4,5,38.3,90.5,3,0
